1,2003,Dinosaur Planet,"Drama,SCIFI"
2,2004,Isle of Man TT 2004 Review,"Drama,SCIFI"
3,1997,Character,"Comedy,Drama,Mystery"
4,1994,Paula Abdul's Get Up & Dance,"Animation , Family"
5,2004,The Rise and Fall of ECW,"Comedy,Music,Musical"
6,1997,Sick,"Drama,Fantasay"
7,1992,8 Man,"Animation,Adventure,Comedy"
8,2004,What the #$*! Do We Know!?,"Action,Crime,Drama"
9,1991,Class of Nuke 'Em High 2,"Comedy,Family,Fantasy"
10,2001,Fighter,"Drama,Romance"
11,1999,Full Frame: Documentary Shorts,"Thriller , Drama"
12,1947,My Favorite Brunette,"Drama,History,Music"
13,2003,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,"Crime,Drama,Film Noir"
14,1982,Nature: Antarctica,"Comedy,Family,Fantasy"
15,1988,Neil Diamond: Greatest Hits Live,"Animation,Short Family"
16,1996,Screamers,"Family, Drama"
17,2005,7 Seconds,"Crime,Drama,Film Noir"
18,1994,Immortal Beloved,"Comedy,Family,Fantasy"
19,2000,By Dawn's Early Light,"Animation,Short Family"
20,1972,Seeta Aur Geeta,"Drama,Family"
21,2002,Strange Relations,"Comedy,Family,Fantasy"
22,2000,Chump Change,"Animation,Short Family"
23,2001,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,"Comedy, Drama"
24,1981,My Bloody Valentine,"Comedy, Drama"
25,1997,Inspector Morse 31: Death Is Now My Neighbour,"Comedy,Drama,Mystery"
26,2004,Never Die Alone,"Animation , Family"
27,1962,Sesame Street: Elmo's World: The Street We Live On,"Comedy,Music,Musical"
28,2002,Lilo and Stitch,"Drama,Fantasay"
29,2001,Boycott,"Animation,Adventure,Comedy"
30,2003,Something's Gotta Give,"Action,Crime,Drama"
31,1999,Classic Albums: Meat Loaf: Bat Out of Hell,"Comedy,Family,Fantasy"
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ,"Drama,Romance"
33,2000,Aqua Teen Hunger Force: Vol. 1,"Thriller, Drama"
34,2003,Ashtanga Yoga: Beginner's Practice with Nicki Doane,"Drama,History,Music"
35,2000,Ferngully 2: The Magical Rescue,"Crime,Drama,Film Noir"
36,1992,Lady Chatterley,"Comedy,Family,Fantasy"
37,1973,Zatoichi's Conspiracy,"Animation,Short Family"
38,2003,Daydream Obsession,"Family, Drama"
39,2000,Love Reinvented,"Thriller, Drama"
40,2004,Pitcher and the Pin-Up,"Comedy,Drama,Mystery"
41,2000,Horror Vision,"Animation , Family"
42,2002,Searching for Paradise,"Comedy,Music,Musical"
43,2000,Silent Service,"Drama,Fantasay"
44,1996,Spitfire Grill,"Animation,Adventure,Comedy"
45,1999,The Love Letter,"Action,Crime,Drama"
46,1964,Rudolph the Red-Nosed Reindeer,"Comedy,Family,Fantasy"
47,1952,The Bad and the Beautiful,"Drama,Romance"
48,2001,Justice League,"Thriller, Drama"
49,2003,Devo: The Complete Truth About De-evolution,"Drama,History,Music"
50,1941,A Yank in the R.A.F.,"Crime,Drama,Film Noir"
51,2002,Jonah: A VeggieTales Movie: Bonus Material,"Comedy,Family,Fantasy"
52,2002,The Weather Underground,"Animation,Short Family"
53,2003,The Bonesetter,"Family, Drama"
54,1952,We're Not Married,"Horror , Drama"
55,1995,Jade,"Comedy,Drama,Mystery"
56,2004,Carandiru,"Animation , Family"
57,1995,Richard III,"Comedy,Music,Musical"
58,1996,Dragonheart,"Drama,Fantasay"
59,2003,Sex and the Beauties,"Animation,Adventure,Comedy"
60,1969,The Libertine,"Action,Crime,Drama"
61,1999,Ricky Martin: One Night Only,"Comedy,Family,Fantasy"
62,1991,Ken Burns' America: Empire of the Air,"Drama,Romance"
63,1943,Crash Dive,"Thriller, Drama"
64,2001,Outside the Law,"Drama,History,Music"
